,price-binned
0,Low
1,Low
2,Low
3,Low
4,Low
5,Low
6,Low
7,Medium
8,Medium
9,
10,Low
11,Low
12,Medium
13,Medium
14,Medium
15,Medium
16,High
17,High
18,Low
19,Low
20,Low
21,Low
22,Low
23,Low
24,Low
25,Low
26,Low
27,Low
28,Low
29,Low
30,Low
31,Low
32,Low
33,Low
34,Low
35,Low
36,Low
37,Low
38,Low
39,Low
40,Low
41,Low
42,Low
43,Low
44,
45,
46,Low
47,High
48,High
49,High
50,Low
51,Low
52,Low
53,Low
54,Low
55,Low
56,Low
57,Low
58,Low
59,Low
60,Low
61,Low
62,Low
63,Low
64,Low
65,Low
66,Low
67,Medium
68,Medium
69,Medium
70,Medium
71,High
72,High
73,High
74,High
75,Low
76,Low
77,Low
78,Low
79,Low
80,Low
81,Low
82,Low
83,Low
84,Low
85,Low
86,Low
87,Low
88,Low
89,Low
90,Low
91,Low
92,Low
93,Low
94,Low
95,Low
96,Low
97,Low
98,Low
99,Low
100,Low
101,Low
102,Low
103,Low
104,Low
105,Medium
106,Low
107,Low
108,Low
109,Low
110,Low
111,Low
112,Low
113,Low
114,Low
115,Low
116,Low
117,Low
118,Low
119,Low
120,Low
121,Low
122,Low
123,Low
124,Low
125,Medium
126,High
127,High
128,High
129,
130,Low
131,Low
132,Low
133,Low
134,Low
135,Low
136,Low
137,Medium
138,Low
139,Low
140,Low
141,Low
142,Low
143,Low
144,Low
145,Low
146,Low
147,Low
148,Low
149,Low
150,Low
151,Low
152,Low
153,Low
154,Low
155,Low
156,Low
157,Low
158,Low
159,Low
160,Low
161,Low
162,Low
163,Low
164,Low
165,Low
166,Low
167,Low
168,Low
169,Low
170,Low
171,Low
172,Low
173,Low
174,Low
175,Low
176,Low
177,Low
178,Low
179,Low
180,Low
181,Low
182,Low
183,Low
184,Low
185,Low
186,Low
187,Low
188,Low
189,Low
190,Low
191,Low
192,Low
193,Low
194,Low
195,Low
196,Low
197,Low
198,Low
199,Medium
200,Low
201,Medium
202,Medium
203,Medium
204,Medium
